rank,trip,country,region,window,composite,tier,family_ok,boys_composite,boys_rank,boys_ok,strike_composite,strike_rank,strike_ok,pool,cost_band,min_days,booking,water_f_lo,water_f_hi,wetsuit,rank_lo,rank_hi,consistency,crowd,quality,beginner,advanced,safety,turnkey,lodging,travel,strikeability,travel_note,note
61,Waikiki (Oahu) — summer,USA (Hawaii),Pacific/USA,Apr–Sep,74.3,B,yes,67.4,123,no,59.5,130,no,no,$$$,5,Easy; no passport,78,80,trunks,53,71,9,2.5,6.5,10,5,9.5,9,8.5,5,5.5,"BOS→HNL ~11-12h, no passport","The better family window the winter row obscured: south-shore swell season, Queens and Canoes at their most consistent, and a flat, snorkel-safe North Shore. Beach-boy turnkey at its purest; the crowd is the whole tax."
62,La Saladita + Troncones,Mexico,Mexico,Apr–Sep,74.2,B,yes,72.4,82,yes,68.9,58,yes,no,$,6,Beach houses 3–6mo,82,86,trunks,59,66,8.5,6,7,9.5,7,5.5,8,7.5,6.5,7,One-stop to ZIH + 40min drive,"Saladita: an endless waist-high left made for learning and longboarding. Troncones/The Ranch up the road for punchy waves. Beach-house rentals with pools. Advisory caveat (2026-08 scan): Guerrero is a standing US State Dept Level 4 'Do Not Travel' state — the Zihuatanejo tourist corridor functions normally in practice, but thin medical plus the harshest advisory category cost it the score cut from 7 to 5.5."
63,Cabo Ledo,Angola,Africa,May–Oct,73.8,B,yes,74.5,64,no,63.8,106,no,no,$$,8,Surf lodges bookable; Luanda transit; e-visa,68,74,springsuit or 2mm,59,70,9,8.5,8,8,6.5,5.5,7.5,6.5,2.5,4.5,BOS→LIS→LAD ~18h + 2h drive,"The audit's biggest coastline find: a near-Chicama-consistency 300m mellow left, effectively empty, with all-inclusive surf lodges — one directly fronting the point. Beginner and expert ride the same wave. Luanda logistics and thin medical are the caps."
64,El Zonte + Sunzal — small season,El Salvador,Central America,Nov–Feb,73.8,B,yes,71.7,88,no,71.4,38,no,no,$,5,Easy; near walk-in,82,85,trunks,62,68,7.5,6.5,7,8.5,6.5,7.5,8,7.5,7,7.5,One-stop to SAL + 45min drive,"The beginner-optimal El Salvador window: waist-to-head points, offshore mornings, Sunzal at its most learnable, and the crowds gone with the big swells."
65,Peniche + Baleal — early summer,Portugal,Europe/Atlantic,May–Jun,73.8,B,yes,71.2,92,yes,73.5,28,yes,no,$,6,Camps plentiful; pre-crowd,59,63,4/3 (hardy: 3/2),60,71,7,5.5,7,8.5,7,9.5,7.5,7.5,8,8,Nonstop BOS→LIS 6.5h + 1h drive,"Pre-crowd Baleal: small consistent windswell on the learner lagoons, long days, half the September lineup. Lower ceiling than the autumn row — a gentler version of the same trip."
66,Beran Island (Ailinglaplap),Marshall Islands,Indo-Pacific,Oct–Apr,73.8,B,no,78.2,39,yes,60.5,126,no,no,$$$$,10,Tiny capacity; 9–12mo; fragile itinerary,82,84,trunks,58,82,7.5,10,8.5,4,9,6.5,9,7,0.5,1,BOS→HNL→MAJ island-hopper + charter ~35h,"The third member of the capped remote NW-Pacific class (with Kavieng and P-Pass): private-atoll operation, guest-capped, boats and boards provided, empty reef passes. The hardest journey on the list."
67,Sagres / Algarve,Portugal,Europe/Atlantic,Sep–Nov,73.7,B,yes,71.1,96,yes,71.4,39,yes,no,$$,6,Easy,64,68,3/2,63,70,7.5,5,7,8,7,9.5,7.5,8,7.5,7.5,Nonstop BOS→LIS + 3h drive,Two coasts at right angles: pick your size and wind every day. Warmer and mellower than Peniche; great family towns.
68,Bundoran + Sligo,Ireland,Europe/Atlantic,Sep–Oct,73.5,B,yes,74.3,66,yes,75.0,23,yes,no,$$,5,Easy,55,58,4/3 + booties (hood by Oct),63,72,7.5,7,7.5,6,8,9.5,6.5,7.5,7,7.5,Nonstop BOS→DUB + 3h drive,"Cold-water Eden: empty reefs and long beginner strands (Strandhill, Tullan) — in a 4/3 with booties. Family charm high if the family owns wetsuits."
69,Dakhla,Western Sahara (Morocco-adm.),Africa,Oct–Apr,73.3,B,yes,72.9,77,no,67.7,67,no,no,$$,6,Purpose-built resorts easy ~3mo,64,69,3/2,65,75,8,8,7,6.5,6.5,7.5,8,8,4,6,BOS→CMN + hop ~15h,"Desert surf resorts steps from near-empty right points, with a 40km flat lagoon as the built-in kids' guarantee no other Africa trip has. Wind is the tax — mornings work."
70,San Onofre + Doheny (San Clemente),USA (California),Pacific/USA,Jun–Sep,73.2,B,yes,70.2,103,yes,71.0,43,yes,no,$$,4,Easy; state-park passes; camps and rentals,64,70,springsuit (trunks Aug–Sep),59,83,8.5,2.5,8,9.5,7.5,9.5,6.5,7,7.5,8,"BOS→SNA/SAN ~7h door-to-door, no passport","The canonical US family-longboard trip: Old Man's rollers, Doheny for the kids, Trestles in walking range for the chargers. Everything easy, everyone there — the Waikiki crowd logic applies in full."
71,KabuNohi Sorake (Nias),Indonesia,Indo-Pacific,May–Sep,73.2,B,no,75.7,53,yes,64.4,99,no,no,$$$,9,16-guest resort at the point; ~6mo,82,85,trunks,64,77,9,4,10,5.5,10,7,8,8,1.5,4,BOS→Medan→GNS ~30h,"The first upscale resort at Lagundri: 16 guests, beachfront at the point, tailored transfers and guiding on a row that assumes losmen walk-ins. Honesty preserved: no property fixes the Point's 60-head circus — crowd stays 4."
72,Ericeira,Portugal,Europe/Atlantic,Sep–Oct,73.0,B,yes,72.6,81,yes,75.2,22,yes,no,$$,6,Easy; Sept ~3mo,63,67,3/2,67,79,7.5,4,8.5,7,8.5,9.5,6.5,8,8,8,Nonstop BOS→LIS 6.5h + 45min,"World Surfing Reserve: reef points for the experienced, Foz do Lizandro sand for learners, lovely town, red-eye friendly. Everyone in Europe knows it — crowd score suffers."
73,Popoyo — dry season,Nicaragua,Central America,Dec–Mar,73.0,B,yes,73.0,74,yes,70.1,48,no,no,$,6,Lodges easy,72,79,trunks or springsuit (offshore upwelling),69,76,7.5,6.5,7.5,7.5,8,6.5,8,7.5,6,6.5,One-stop to MGA + 2.5h drive,"The offshore machine runs all year; Dec–Mar trades size for friendliness — smaller, cleaner, more learnable, and the calendar's thin months get a $ option."
74,Pohnpei (P-Pass),Micronesia (FSM),Indo-Pacific,Oct–Mar,72.9,B,no,78.3,37,yes,64.7,98,no,no,$$$$,10,Small operation; 6–12mo,82,84,trunks,61,88,8,8.5,9.5,3,9.5,8,8,6,1,2.5,BOS→HNL→island-hopper ~30h,"Palikir Pass is a dream right for good surfers, boat-only, near-empty. Effectively no beginner terrain — a strike mission wearing a family-trip costume."
75,Papara + Moorea (Tahiti),French Polynesia,Indo-Pacific,May–Oct,72.8,B,no,75.1,59,yes,64.2,101,no,no,$$$$,8,Resorts easy; surf guides limited,79,82,trunks,70,82,8.5,6.5,8.5,5.5,9,8.5,6,8.5,3,3.5,BOS→SFO/LAX→PPT ~17h,"Black-sand river-mouth waves at Papara for improvers, reef passes and the Teahupoo spectacle for experts, overwater-bungalow family glamour on Moorea. Localism is polite but real."
76,Raglan,New Zealand,Indo-Pacific,Dec–Mar,72.5,B,yes,71.9,85,yes,62.5,116,no,no,$$$,10,Easy,62,66,3/2 (spring midsummer),72,83,8,5,8.5,7.5,8,9.5,7,7.5,2.5,4,BOS→AKL ~20h + 2h drive,"Manu Bay's endless left plus a proper learner beach (Ngarunui), in a green artsy town. Springsuit water in summer; NZ safety and charm."
77,Santa Teresa — green season,Costa Rica,Central America,May–Aug,72.5,B,yes,71.7,89,yes,67.4,70,no,no,$$,7,Easy; green-season rates,82,86,trunks,71,85,9,5,7.5,7,7,7.5,7,8,6,6.5,BOS→SJO + 5h drive/ferry or air taxi,"Same beach breaks, more swell, meaningfully fewer people than the listed Dec–Apr window."
78,Txai Itacaré,Brazil,South America,Dec–Mar,72.5,B,yes,69.2,108,no,64.1,103,no,no,$$$$,7,Relais & Châteaux; lessons arranged; 3–6mo,80,84,trunks,72,85,7,8,6,8.5,5.5,7.5,8,9.5,4,5.5,BOS→GRU→IOS + 45min,Ninety-two hectares fronting 5km of near-deserted Itacarezinho beach — resort-grade lodging and a private-feeling learner beach where the town row assumes pousada-DIY.
79,Morro Negrito (Chiriquí islands),Panama,Central America,Apr–Oct,72.3,B,no,75.4,56,yes,66.8,77,no,no,$$,7,One island camp; ~6mo,80,84,trunks,70,91,8,9,7.5,5.5,8,7,7.5,5,4.5,4.5,BOS→PTY + hop + boat,"Private-island boat camp with near-empty waves — rustic, experts-leaning, the budget Pacific-Panama answer to the island-camp class."
80,Punta Mita + Sayulita,Mexico,Mexico,Dec–Apr,72.2,B,yes,67.2,124,no,65.4,91,no,no,$$$,5,Resorts easy; on-site surf clubs,72,77,trunks or springsuit,74,88,7,4.5,6.5,9,5.5,7.5,9,9,7.5,6.5,One-stop (or seasonal nonstop) to PVR + 45min,"Panga-driven longboard points (La Lancha, Anclote) with genuinely gentle waves; five-star family resorts. Sayulita itself is a zoo — stay Mita side."
81,Hossegor + Capbreton,France,Europe/Atlantic,Sep–Oct,72.2,B,yes,73.0,75,yes,74.3,26,yes,no,$$,6,Sept lodging books early,64,68,3/2,76,89,7.5,4.5,9,6.5,9,9.5,6,8,6,7.5,BOS→CDG/Madrid + hop to Biarritz,"The best beach-break barrels on earth in September, croissants for the kids, Capbreton's protected corner for learners. Shifty banks punish beginners on bigger days."
82,Nusa Lembongan,Indonesia,Indo-Pacific,May–Sep,72.2,B,yes,71.9,86,yes,60.5,127,no,no,$$,9,Easy,78,82,trunks,77,88,9,4.5,8,6.5,8,7.5,8,8,2.5,4,BOS→DPS + fast boat,"Bali's swell without Bali's chaos: boat-accessed reefs (Playgrounds for improvers, Lacerations for experts), family resorts with pools facing the lineup."
83,Red Frog Bungalows (Bastimentos),Panama,Central America,Dec–Mar,72.2,B,yes,73.0,76,yes,66.2,82,no,no,$$$,7,"All-inclusive, ~10 surfers, own boat fleet; ~6mo",81,84,trunks,72,92,6,7.5,7.5,6,8.5,7,9,8,5.5,4,BOS→PTY + hop + boat,"The Las Flores resort-and-panga model on the Caribbean: max ~10 surfers, daily boat calls to 15 waves within 20 minutes (Silverbacks in range) on a row that assumes DIY boat-hiring. Swell-dependence is unchanged — the window still decides the trip."
84,São Miguel (Azores),Portugal (Azores),Europe/Atlantic,Sep–Oct,72.0,B,yes,72.7,79,yes,77.4,11,yes,no,$,5,Easy; 4.5h direct,71,74,springsuit or 2mm,75,93,7,7.5,7,6.5,7.5,9.5,5.5,7,9,8.5,Nonstop BOS→PDL 4.5h(!),"The shortest real flight to empty Atlantic surf from Boston. Black-sand beach breaks and reefs, whales and hot springs for flat days. Weather-roulette — swell and wind change fast."
85,Poipu (Kauai south shore),USA (Hawaii),Pacific/USA,Apr–Sep,72.0,B,yes,67.9,114,no,62.2,118,no,no,$$$,6,Easy; resort-dense,77,80,trunks,79,90,8,4.5,6.5,8.5,6,9.5,7.5,8.5,5,5.5,"BOS→LIH ~13h, no passport","The summer-Hawaii family trip, distinct from winter Hanalei: reliable south swell rollers, resort infrastructure, learner-perfect inside."
86,Maui west side (Lahaina–Launiupoko),USA (Hawaii),Pacific/USA,Nov–Mar,72.0,B,yes,68.7,109,yes,65.1,96,no,no,$$$,6,Easy,75,78,trunks,78,91,7.5,4,7.5,8.5,7,9.5,7.5,8.5,4.5,6,"BOS→OGG ~12-13h, no passport","Gentle winter rollers at Launiupoko and Puamana for the family, Honolua Bay's world-class right up the road when the north swell lands."
87,"Krui (Ujung Bocur, South Sumatra)",Indonesia,Indo-Pacific,Apr–Oct,71.8,B,no,76.1,48,yes,63.4,108,no,no,$,10,Losmen and small camps; near walk-in,81,84,trunks,79,92,9,7,9,5.5,9.5,6.5,7,5.5,1.5,3.5,BOS→Jakarta→Lampung + 6h drive,Sumatra's mainland conveyor: a dozen quality lefts and rights around a sleepy town at backpacker prices. Long overland haul; thin medical.
88,Weligama–Ahangama south coast,Sri Lanka,Indian Ocean,Nov–Mar,71.7,B,yes,67.5,120,no,56.3,138,no,no,$$,9,Easy,82,84,trunks,81,94,8.5,4,6.5,9.5,6.5,7.5,8.5,8,3,4,BOS→CMB ~20h + 2.5h drive,"Warm, cheap, endlessly mellow — a dozen learner-to-intermediate reefs and beaches in 20km, great food and family villas. Blew up post-2020; lineups show it."
89,Papatura Island Retreat,Solomon Islands,Indo-Pacific,Oct–Apr,71.6,B,yes,73.7,70,yes,59.3,132,no,no,$$$,9,Family-run; small capacity; 6–9mo,84,86,trunks,75,101,7,9.5,7.5,6,8,6,8.5,7.5,1,2,BOS→BNE→HIR + charter hop ~35h,"Family-run island surf resort with daily boats to uncrowded fun reefs — the only family-gate-passing trip in the entire Nov–Apr remote-Pacific window, which the calendar otherwise cedes to experts-first Kavieng and Pohnpei."
90,Tamarindo + Playa Grande,Costa Rica,Central America,Dec–Apr,71.5,B,yes,66.4,126,no,63.8,107,no,no,$$,5,Easy; book flights early for school weeks,80,85,trunks,80,97,8.5,3,6,9,5.5,7.5,8.5,8,8,7,Nonstop BOS→LIR ~5.5h + 1h drive,"Easiest CR logistics, very learner-friendly, boat trips to Witch's Rock. Heavily touristed — the crowd score pays for the convenience."
91,Zarautz + San Sebastián,Spain,Europe/Atlantic,Sep–Oct,71.3,B,yes,67.5,121,no,67.3,72,no,no,$$,6,Easy,65,68,3/2,86,97,7,4.5,6.5,8.5,6.5,9.5,7.5,8.5,6.5,7,BOS→Madrid + hop/drive,"Gentle Basque beach breaks, world-best food, culture days built in. A family holiday with very good surf rather than a surf trip."
92,Imsouane,Morocco,Africa,Oct–Mar,71.3,B,yes,68.6,110,no,66.5,80,no,no,$,6,Easy,62,68,3/2,87,97,8,5,7.5,9.5,6,7.5,7.5,6,5.5,7,BOS→LIS/CDG + hop to AGA + 1.5h,The Bay: a 600m+ gentle right where a first-timer rides for 30 seconds — maybe the best learner wave anywhere. Village amenities are simple; longboarders flock to it.
93,Ngor + Yoff (Dakar),Senegal,Africa,Nov–Mar,71.3,B,yes,71.8,87,yes,67.4,71,no,no,$$,6,Island surf camps easy,68,75,springsuit (2mm midwinter),86,95,8.5,7,7,7,7,6.5,7.5,6,5,6.5,BOS→JFK→DSS ~12h,"Two-coast peninsula — swell always hitting one side — with Ngor Right of Endless Summer fame, established island camps doing boards and guiding, and Yoff sand for learners."
94,San Cristóbal (Galápagos),Ecuador,South America,Dec–Apr,71.2,B,no,73.8,69,yes,65.3,92,no,no,$$$$,8,Flights+permits 4–6mo,72,77,springsuit,84,104,7.5,8.5,8,5.5,8,8,6.5,6.5,3.5,4,BOS→GYE + Galápagos flight + fees,"Sea lions in the lineup, N-swell reef points with almost nobody out, plus the wildlife trip of a lifetime for kids. Logistics and cost are the gate."
95,West Sumbawa (Scar Reef / Yoyo's),Indonesia,Indo-Pacific,May–Sep,71.2,B,no,74.7,62,yes,63.0,112,no,no,$$,10,Camps ~6mo,77,81,trunks,89,98,8.5,7,9,5.5,9,6.5,7,6.5,1.5,3.5,BOS→LOP + ferry/drive ~30h,"The other, better-served half of Sumbawa the list had skipped: Scar Reef and Supersuck for the chargers, Jelenga inside for the rusty."
96,El Paredón,Guatemala,Central America,Mar–Sep,70.8,B,yes,70.0,104,no,65.9,86,no,no,$,5,Easy,83,86,trunks,92,105,8.5,7.5,6,7.5,6,6.5,7,6.5,6,6.5,One-stop to GUA + 2.5h drive,"Uncrowded black-sand beach break village — simple, cheap, consistent. Punchy shorebreak days need supervision for kids."
97,Galicia (Pantín / Razo),Spain,Europe/Atlantic,Sep–Oct,70.8,B,yes,70.6,101,yes,71.2,42,yes,no,$,6,Self-assemble; easy,61,65,4/3 (or warm 3/2),92,103,7.5,7,7,7,7,9.5,6,6.5,5.5,7.5,BOS→Madrid + hop/drive,"Genuinely uncrowded, consistent Atlantic beach breaks with European safety. Note correction (2026-08 sweep): a real camp ecosystem exists (Artsurfcamp at Razo runs full coached weeks), so the old 'self-assemble only' verdict was stale — turnkey raised 5 → 6; still no resort-grade property."
98,Playa Encuentro (Cabarete),Dominican Republic,Caribbean,Dec–Mar,70.5,B,yes,67.6,117,no,70.0,51,no,no,$,5,Easy; many camps,79,82,trunks,94,104,7,5.5,6.5,8.5,6,6.5,8,7.5,8.5,8,Nonstop BOS→POP/PUJ ~4.5h,Dawn-patrol reef peaks that suit surf schools remarkably well; kite/windsurf afternoons for the rest of the family. Short cheap flights.
99,Dominical + Uvita,Costa Rica,Central America,Apr–Sep,70.4,B,yes,71.1,97,yes,67.5,69,no,no,$$,6,Easy,82,86,trunks,96,106,9,5,7.5,6,7.5,7.5,6,7.5,6.5,6.5,BOS→SJO + 3.5h drive,The consistent central-Pacific window the CR coverage was missing. Punchy beach break with real rips — beginner score capped accordingly.
100,Playa Maderas (San Juan del Sur),Nicaragua,Central America,Apr–Sep,70.2,B,yes,67.7,116,no,64.2,102,no,no,$,5,Easy,74,82,trunks (spring top in upwelling spells),98,110,9,4.5,6.5,8.5,6,6.5,7.5,6.5,6,7,One-stop to MGA + 2.5h drive,Friendly peaks and a proper learner scene; shuttle-truck culture from SJDS. Busier than the private-community options.
101,Santa Teresa / Mal País,Costa Rica,Central America,Dec–Apr,70.1,B,yes,68.3,112,yes,65.0,97,no,no,$$,7,Easy,82,86,trunks,94,109,8.5,3.5,7.5,7.5,7,7.5,7,8,6,6.5,BOS→SJO + 5h drive/ferry or air taxi,"Consistent beach breaks for all levels, great food/lodging scene, but discovered — lineups busy and the drive in is long."
102,Puerto Escondido (La Punta base),Mexico,Mexico,Apr–Sep,70.1,B,no,73.4,73,yes,73.3,29,yes,no,$,6,Easy,82,86,trunks,95,111,9,4,9,4.5,9.5,7,6.5,7,5.5,8,Two-leg to PXM,"Zicatela is the Mexican Pipeline — spectate, don't bring the kids out. La Punta and Carrizalillo cove are the family end. Town is buzzing and busy."
103,Santa Catalina,Panama,Central America,Apr–Aug,70.0,B,no,74.0,68,yes,70.3,47,no,no,$,7,Easy; basic lodging,80,84,trunks,98,113,8,7,8.5,5,9,7.5,6,5.5,5,6,BOS→PTY + 6h drive,"Powerful world-class right point, empty by CR standards. Estero beach break for learners, but the town is basic and the drive long."
104,Costa Azul (San José del Cabo),Mexico,Mexico,May–Oct,70.0,B,yes,67.0,125,no,66.2,83,no,no,$$$,5,Easy resort booking,78,84,trunks,99,109,7.5,4,6.5,7.5,6.5,7.5,8,8.5,7.5,7,Nonstop BOS→SJD seasonal ~6.5h,"Resort-corridor convenience with a real summer wave (The Rock, Old Man's for learners). Easy, warm, but lineups concentrate."
105,Siargao (Cloud 9 + boat breaks),Philippines,Indo-Pacific,Aug–Nov,70.0,B,yes,69.8,106,yes,59.5,131,no,no,$$,9,Easy,82,85,trunks,98,111,7.5,4.5,8.5,7.5,8.5,7,8,7.5,2,3.5,BOS→MNL/CEB + hop ~26h,"Typhoon-season swell, boat trips to uncrowded reefs beyond Cloud 9, palm-island charm, very affordable. Swell windows less locked-in than Indo; typhoon risk is real."
106,La Jolla Shores + San Diego,USA (California),Pacific/USA,Aug–Sep,70.0,B,yes,65.2,129,no,67.1,74,no,no,$$,4,Easy,68,72,springsuit or trunks,93,114,7.5,3,6,9.5,6.5,9.5,7,7.5,7.5,8,"BOS→SAN ~7h door-to-door, no passport",The mainland's gentlest learner beach plus reef options up the coast. US-easy everything; the crowd is the price.
107,Puerto Viejo (Playa Cocles),Costa Rica,Central America,Jan–Mar,69.8,C,yes,70.5,102,yes,68.1,63,no,no,$,6,Easy,81,84,trunks,100,113,7,6,8,7.5,8,6,7,7,6.5,6,BOS→SJO + 4.5h drive,"The Caribbean side the 100%-Pacific CR coverage skipped: Salsa Brava for the chargers, Cocles sand for learners, a 3-month window and Limón-province edge."
108,UCPA Surf House Le Moule,France (Caribbean),Caribbean,Nov–Mar,69.8,C,yes,67.8,115,no,65.7,89,no,no,$,6,Fixed-week institutional packages (UCPA),79,83,trunks,99,117,6.5,6.5,6,8,6.5,7.5,8,6.5,7.5,6,BOS via SJU/MIA → PTP ~8h,"Fixes the Guadeloupe row's own named cap: an institutional week with 10 coached sessions, gear, and spot rotation included, at sports-association prices. Lodging is hostel-grade — that's the trade."
109,Los Cerritos / Todos Santos (Baja),Mexico,Mexico,Nov–Mar,69.6,C,yes,66.3,127,no,65.3,93,no,no,$$,5,Easy,66,72,springsuit or 3/2,105,117,7.5,5,6,8.5,6,7.5,7.5,7.5,7,7,One-stop to SJD + 1h drive,"Winter NW swell, learner-friendly Cerritos, artsy Todos Santos base. Water is cool (springsuit) and the surf is fun rather than world-class."
110,Pichilemu / Punta de Lobos,Chile,South America,Nov–Mar,69.5,C,no,72.8,78,yes,69.6,54,no,no,$$,8,Easy,55,60,4/3 + booties (hood common),102,115,8.5,6,8.5,5.5,9,7.5,5.5,6.5,4,6.5,BOS→SCL + 3.5h drive,"Relentless left points, but 4/3-and-booties cold even in summer. A surf trip for a hardy family, not a tropical one."
111,Arugam Bay,Sri Lanka,Indian Ocean,May–Sep,69.4,C,yes,68.6,111,yes,58.1,134,no,no,$$,9,Easy,82,84,trunks,105,117,8.5,4.5,7.5,7.5,7.5,7.5,7.5,6.5,2.5,4,BOS→CMB + 6h drive,"Long sand-bottom right points (Main Point, Whiskey, Peanut Farm) with tuk-tuk guide culture. The far side of a long journey."
112,Rincón,Puerto Rico (USA),Caribbean,Nov–Mar,69.3,C,yes,69.6,107,yes,78.9,5,yes,no,$$,4,Easy; winter 3–6mo,78,81,trunks,105,120,7,4.5,8,7,8,8.5,5,7.5,10,10,"Nonstop BOS→SJU 4h, no passport, + 2h drive","The easiest real surf trip from New England: no passport, US healthcare, winter N-swells lighting up a dozen breaks from mellow to Tres Palmas. Swell-dependent weeks and busy peaks are the tax."
113,Madeira (Jardim do Mar),Portugal (Madeira),Europe/Atlantic,Oct–Mar,69.3,C,no,74.3,67,yes,76.8,14,yes,no,$$,6,Easy; village lodging,66,71,3/2 or springsuit,99,121,7.5,8,8.5,2.5,8.5,9.5,4,8,7,7.5,Nonstop BOS→LIS + hop,"World-class empty points on a safe, easy-to-reach island — with boulder entries and no sand anywhere. An experts-first row, same treatment as J-Bay."
114,Zicatela (Puerto Escondido proper),Mexico,Mexico,Apr–Sep,69.0,C,no,75.0,60,yes,75.7,18,yes,no,$,6,Easy; hotels on the strip,82,86,trunks,102,123,9,4.5,10,2,10,7,6,7,5.5,8,Two-leg to PXM,"The Mexican Pipeline as a base, not a spectacle: the existing row is La Punta-configured for families; this is the row for a crew that came to ride Zicatela itself."
115,Uluwatu + Bingin (Bukit),Indonesia,Indo-Pacific,May–Sep,68.9,C,no,70.9,98,yes,61.8,121,no,no,$$,9,Easy,75,80,trunks (vest for dawn upwelling),106,127,9.5,2,9.5,5,9.5,7.5,6,8.5,3,4.5,BOS→DPS ~24h,Dry-season perfection every single day — shared with the entire surfing world. The crowd score is the story; cliff-top pools do overlook the breaks.
116,Waikiki (Oahu) — winter,USA (Hawaii),Pacific/USA,Nov–Mar,68.9,C,yes,63.4,134,no,57.5,137,no,no,$$$,5,Easy; no passport,75,77,trunks (some wear spring tops),107,125,8.5,2.5,6,9.5,5.5,9.5,6.5,8.5,5,5.5,"BOS→HNL ~11-12h, no passport","Rescored as Waikiki-only after the audit caught the base-pairing error: the winter row had been charging North Shore quality a mixed family can't ride. Winter south shore is smaller but rideable most days; the North Shore is a spectacular spectator day, not a program. See the summer row for this trip's better family window."
117,Outer Banks (Cape Hatteras),USA (N. Carolina),Pacific/USA,Aug–Oct,68.9,C,yes,67.6,118,yes,75.8,17,yes,no,$$,5,House rentals easy,68,78,trunks Aug → 3/2 by late Oct,111,122,6.5,5.5,7,7.5,7,9,5.5,8,8.5,9.5,Drive ~11h or BOS→ORF + 2h,"The East Coast's best sandbars, drivable, with hurricane-season swell — and the two things the brief punishes: a week can skunk, and chasing the right bank IS the OBX game."
118,Soup Bowl (Barbados) — autumn strike,Barbados,Caribbean,Aug–Oct (hurricane swell),68.9,C,no,70.7,99,yes,78.0,9,yes,no,$$,4,Walk-in; watch the hurricane models,83,85,trunks,104,125,5.5,6,8.5,5,8.5,8.5,6.5,8,8.5,8.5,Nonstop BOS/JFK→BGI ~4.5-5h,"Soup Bowl's actual prime — hurricane swells with 3-5 days of forecast lead, a nonstop flight, and half-price hotels. Rejected as a book-ahead row in v4 (consistency lottery); re-admitted as the strike division's East Coast classic."
119,Lobitos + Máncora (north Peru),Peru,South America,Apr–Oct,68.7,C,yes,72.0,84,yes,69.7,53,no,no,$,7,DIY-ish,66,74,2mm or 3/2,112,124,8,7,8.5,6.5,8.5,6.5,5,6,4.5,6.5,BOS→LIM + hop to Talara/Piura,"Desert left points, warmer than Chicama, Máncora has the family beach scene. Oil-town grit around Lobitos."
120,Nias (Lagundri Bay),Indonesia,Indo-Pacific,May–Sep,68.7,C,no,72.7,80,yes,62.1,119,no,no,$,10,Losmen walk-in; flights via Medan,82,85,trunks,112,123,9,4,10,5.5,10,6.5,6.5,5.5,1.5,4,BOS→Medan→Gunungsitoli ~30h,"One of the world's great rights, machine-consistent — and a 60-head circus on every swell since the seabed uplift. The famous wave does not fix waves-per-person."
121,North Shore (Oahu) — winter base,USA (Hawaii),Pacific/USA,Nov–Mar,68.7,C,no,71.2,93,yes,69.2,56,yes,no,$$$,6,Vacation rentals; winter books early,75,77,trunks,108,129,9.5,2,10,3,8.5,9,6,7.5,5,7,"BOS→HNL ~11-12h + 1h drive, no passport","The boys-mode Oahu row the family lens excluded: based at the Seven Mile Miracle, dawn-patrolling Haleiwa and Chun's with the world's best out at Pipe. Realized wave count is honest — the deepest pecking order on earth caps it."
122,Muizenberg (Cape Town),South Africa,Africa,Nov–Mar,68.5,C,yes,64.7,132,no,57.6,136,no,no,$$$,9,Easy,59,64,3/2–4/3,111,125,8,4,5.5,9.5,7,6,8.5,8,3,5.5,BOS→CPT ~20h,"Surfers' Corner is a legendary learn-to-surf beach, and Cape Town is a spectacular family city. Busy lineups, cool water, shark protocol managed by spotters."
123,Bocas del Toro,Panama,Central America,Dec–Mar,68.0,C,yes,68.2,113,yes,66.0,85,no,no,$$,7,Easy,81,84,trunks,116,127,6,6.5,7.5,6.5,7.5,7,7.5,7.5,5.5,5.5,BOS→PTY + domestic hop,"Caribbean N-swell window — reef and beach options by boat, island-hopping fun. Swell-dependent: flat spells happen."
124,Ayampe + Montañita,Ecuador,South America,Dec–Apr,68.0,C,yes,67.6,119,no,64.1,104,no,no,$,7,Easy,75,80,trunks,118,127,7.5,7,6.5,8,6.5,6,6.5,6.5,5.5,6,BOS→UIO/GYE + 3h drive,"Warm N-swell season, mellow Ayampe beach break with a quiet yoga-town vibe (skip Montañita's party for the family). Cheap and uncrowded."
125,Jeffreys Bay,South Africa,Africa,Jun–Aug,67.9,C,no,72.2,83,yes,67.0,76,no,no,$$$,9,Lodging easy; long-haul flights,57,63,4/3 (+ booties for wind),121,129,8.5,4.5,10,5.5,10,6,5,7.5,3,5.5,BOS→JNB/CPT→PLZ ~22h,"Supertubes is the best right point on the planet, and winter delivers it weekly. Learner beaches exist, water's cold, and it's a very long way with kids for a wave only the experts ride."
126,G-Land (Grajagan),Indonesia,Indo-Pacific,May–Sep,67.8,C,no,75.0,61,yes,63.2,109,no,no,$$,8,"Jungle camps (Joyo's, Bobby's) 3–6mo",75,79,trunks (vest at dawn),118,131,9,6.5,9.5,1.5,10,6.5,7,5,1.5,3.5,BOS→DPS + 4h drive/boat,Seven-mile jungle left with all-inclusive camps at the wave. Canonical advanced trip; zero learner terrain — added for universe completeness after being excluded on family grounds.
127,Fernando de Noronha,Brazil,South America,Dec–Mar,67.2,C,no,71.2,94,yes,65.5,90,no,no,$$$$,8,Capped island; permits+flights 4–6mo,79,82,trunks,123,131,7,8,8.5,5,8.5,7.5,5,7,3,4.5,BOS→GRU/REC→FEN + island fees,"Brazil's Hawaii: crystal N-swell peaks, capped visitor numbers keep it empty, spectacular for kids (dolphins, snorkeling). Expensive and far."
